,message,target,source,short
0,Wow... Loved this place.,1,yelp,wow love place
1,Crust is not good.,0,yelp,crust good
2,Not tasty and the texture was just nasty.,0,yelp,tasty texture nasty
3,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,yelp,stop late bank holiday rick steve recommendation love
4,The selection on the menu was great and so were the prices.,1,yelp,selection menu great price
5,Now I am getting angry and I want my damn pho.,0,yelp,get angry want damn pho
6,Honeslty it didn't taste THAT fresh.),0,yelp,honeslty taste fresh
7,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,yelp,potato like rubber tell ahead time keep warm
8,The fries were great too.,1,yelp,fry great
9,A great touch.,1,yelp,great touch
10,Service was very prompt.,1,yelp,service prompt
11,Would not go back.,0,yelp,
12,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,yelp,cashier care end wayyy overpriced
13,"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",1,yelp,try cape cod ravoli chicken cranberry mmmm
14,I was disgusted because I was pretty sure that was human hair.,0,yelp,disgusted pretty sure human hair
15,I was shocked because no signs indicate cash only.,0,yelp,shocked sign indicate cash
16,Highly recommended.,1,yelp,highly recommend
17,Waitress was a little slow in service.,0,yelp,waitress little slow service
18,"This place is not worth your time, let alone Vegas.",0,yelp,place worth time let Vegas
19,did not like at all.,0,yelp,like
20,The Burrittos Blah!,0,yelp,burrittos blah
21,"The food, amazing.",1,yelp,food amazing
22,Service is also cute.,1,yelp,service cute
23,I could care less... The interior is just beautiful.,1,yelp,care interior beautiful
24,So they performed.,1,yelp,perform
25,That's right....the red velvet cake.....ohhh this stuff is so good.,1,yelp,right red velvet cake ohhh stuff good
26,- They never brought a salad we asked for.,0,yelp,bring salad ask
27,"This hole in the wall has great Mexican street tacos, and friendly staff.",1,yelp,hole wall great Mexican street taco friendly staff
28,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,yelp,take hour food table restaurant food Luke warm sever run like totally overwhelmed
29,The worst was the salmon sashimi.,0,yelp,bad salmon sashimi
30,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,yelp,combos like burger fry beer decent deal
31,This was like the final blow!,0,yelp,like final blow
32,I found this place by accident and I could not be happier.,1,yelp,find place accident happy
33,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,yelp,like good quick place grab bite familiar pub food favor look
34,"Overall, I like this place a lot.",1,yelp,overall like place lot
35,The only redeeming quality of the restaurant was that it was very inexpensive.,1,yelp,redeem quality restaurant inexpensive
36,Ample portions and good prices.,1,yelp,ample portion good price
37,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,yelp,poor service waiter feel like stupid time come table
38,My first visit to Hiro was a delight!,1,yelp,visit Hiro delight
39,Service sucks.,0,yelp,service suck
40,The shrimp tender and moist.,1,yelp,shrimp tender moist
41,There is not a deal good enough that would drag me into that establishment again.,0,yelp,deal good drag establishment
